"nome","telefone"
"Salão Souza Hairdesign","551125462195"
"Galera Cabeleireiros & Estética","551135892919"
"Lih Santos Studio","5511952745704"
"Spazio Sorelle","5511953771219"
"Studio Janayna Cachos","5511987886054"
"ESPAÇO S.R.","5511978041864"
"Andreia Rosa Beauty Designer","5511945486133"
"Studio Mariane Dias","5511952802841"
"J.Espaço Linda Mulher Cabelos E Unhas","5511946360666"
"Studio Bianca Beauty","5511976145437"
"Salao Bella Mulher","5511959928719"
"AG Beauty Studio","5511967750941"
"Studio Laís Marinho – Unhas de Gel, Banho de Gel, Nail Designer & Depilação em Ermelino Matarazzo","5511970587681"
"Studio Karina Nails Designer","5511959075708"
"Jéssica Souza |Micropigmentação e Cílios e Cursos","5511960152358"
"Esmalteria Classe A","5511978702707"
"Studio de Beleza Karen e Natalia Cruz","5511994912800"
"Darling Hair & Designer","5511979818048"
"Vip Lounge Hair | Terapia Capilar Parque Boturussu, Ermelino Matarazzo","5511913184882"
"Dulce & Divas - Corte / Visagismo / Coloração","5511964539821"
"Natália Rivera Beauty","5511942573707"
"Star Day Estetic Hair","551134455727"
"Studio Jacqueline Santos","5511944822746"
"Studio Freitas","5511965530746"
"FATIMA HAIR - Salão de Beleza","5511974147229"
"Nicolle Cury- Lash Designer/ Cílios","5511964050961"
"Studio Dome","5511990084838"
"Manicure Ermelino Matarazzo","5511960339117"
"Belisama Beauty Studio","5511973747233"
"Espaço Santaelo Nail","5511930336985"
"Espaço Amanda Silvino","5511979990341"
"Studio Zanin Maia esmalteria e estética","5511934289083"
"Atelie Unhas Karolinne Precidonio","5511947652712"
"DepilaGi","5511972351665"
"Ely Cabelos Mega Hair","5511978391658"
"Studio Alessandra Carvalho hair","5511987063067"
"Espaço Célia Diniz","5511962310149"
"Studio Maria Luiza unhas","5511969567873"
"Studio Natalia Silva","5511967669132"
"Studio W","551130942640"
"Studio W JK Iguatemi","551130741550"
"Make A Wish Espaço de Beleza","5511988588778"
"ROM. Iguatemi","551138150920"
"SPA Podologie - Shopping Iguatemi","551130311155"
