nome,endereco,telefone,whatsapp,palavra_chave,cidade,bairro,data_coleta
Extensão de Cílios | Itaim Paulista SP,"
Rua Tibúrcio de Sousa, 1000 - Itaim Paulista, São Paulo - SP, 08140-000",5511962080737,https://wa.me/5511962080737,salão de beleza,São Paulo,itaim paulista,2025-09-29 08:55:07
Franciely Alves - Sobrancelhas | Lábios | Cursos em SP,"
R. Alfredo Moreira Pinto, 338 - Itaim Paulista, São Paulo - SP, 08110-220",5511985279960,https://wa.me/5511985279960,salão de beleza,São Paulo,itaim paulista,2025-09-29 08:55:16
Salão de Beleza em Itaim Paulista - Angelo's Salon - Cabelo & Estetica,"
R. Jacareana, 12C - sala 2 - Itaim Paulista, São Paulo - SP, 08121-425",5511958350112,https://wa.me/5511958350112,salão de beleza,São Paulo,itaim paulista,2025-09-29 08:55:22
Francisscabeleireiros,"
Rua Tibúrcio de Sousa, 854 - Itaim Paulista, São Paulo - SP, 08140-000",5511997622849,https://wa.me/5511997622849,salão de beleza,São Paulo,itaim paulista,2025-09-29 08:55:27
New Realce Cabeleireiros,"
R. Serra de Jairé, 1579 - Água Rasa, São Paulo - SP, 03175-001",5511940099702,https://wa.me/5511940099702,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:12:02
Salão Me Belle,"
R. Barão de Penedo, 143 - Água Rasa, São Paulo - SP, 03179-070",5511975056121,https://wa.me/5511975056121,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:12:08
La Rosa Studio Mooca,"
R. Sapucaia, 389 - Água Rasa, São Paulo - SP, 03170-050",5511995514465,https://wa.me/5511995514465,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:12:15
Biron Cabeleireiro,"
Av. Álvaro Ramos, 2610 - Água Rasa, São Paulo - SP, 03330-000",5511967932916,https://wa.me/5511967932916,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:12:23
Espaço Erica,"
R. Alto Bonito, 26 - Água Rasa, São Paulo - SP, 03190-020",5511959108461,https://wa.me/5511959108461,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:12:41
Estética Magia Hair,"
Av. Álvaro Ramos, 2526 - Água Rasa, São Paulo - SP, 03330-000",551126046672,https://wa.me/551126046672,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:12:50
Cosméticos Linha Profissional,"
R. Itaqueri, 307 - Água Rasa, São Paulo - SP, 03178-000",551135643130,https://wa.me/551135643130,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:13:13
Oi Linda Estúdio de Beleza,"
Av. Sapopemba, 1417 - sala 01 - Água Rasa, São Paulo - SP, 03345-001",5511997543321,https://wa.me/5511997543321,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:13:18
Tenisia Estética & Beleza,"
R. Padre Maurício, 392 - Água Rasa, São Paulo - SP, 03351-000",5511953772941,https://wa.me/5511953772941,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:13:27
Morado Beauty Company,"
R. Falconi, 34 - Água Rasa, São Paulo - SP, 03159-020",5511917735467,https://wa.me/5511917735467,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:13:37
AS Esmalteria & Beleza,"
R. Oiti, 153 - Água Rasa, São Paulo - SP, 03347-000",5511982536550,https://wa.me/5511982536550,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:13:45
Cosmo Coiffeur,"
R. Itaqueri, 403 - sala 3 - Água Rasa, São Paulo - SP, 03178-000",5511967782519,https://wa.me/5511967782519,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:14:00
Elaine Cabeleireira,"
Rua da Meação, 34 - Água Rasa, São Paulo - SP, 03335-045",551126712899,https://wa.me/551126712899,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:14:28
Studio Letícia Cravo,"
R. José Oscar Abreu Sampaio, 382 - Água Rasa, São Paulo - SP, 03337-020",5511939055049,https://wa.me/5511939055049,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:14:40
Lanna Soares Estética,"
Av. Álvaro Ramos, 2379 - Água Rasa, São Paulo - SP, 03331-001",5511986788534,https://wa.me/5511986788534,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:14:48
Espaço Ana Monteiro,"
R. Bento Gonçalves, 373 - Água Rasa, São Paulo - SP, 03334-000",551129111959,https://wa.me/551129111959,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:15:03
Sahaircabelereiros,"
R. Itamaracá, 392 - Água Rasa, São Paulo - SP, 03179-010",5511947789287,https://wa.me/5511947789287,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:15:28
Studio Z,"
R. Gen. Calado, 111 E - Água Rasa, São Paulo - SP, 03334-060",551126052584,https://wa.me/551126052584,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:15:36
Espaço Raffa Gomes,"
R. Itamaracá, N°258 - 02 - Água Rasa, São Paulo - SP, 03175-001",5511987083048,https://wa.me/5511987083048,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:15:54
Studio R Novaque - Cabeleireiro Visagista Profissional,"
R. Paulina, 32 - Água Rasa, São Paulo - SP, 03370-040",5511983151757,https://wa.me/5511983151757,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:16:04
Ceres,"
R. Francisco Zicardi, 198 - Água Rasa, São Paulo - SP, 03335-090",551126712278,https://wa.me/551126712278,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:16:13
Tony Carneiro - Depilação Masculina,"
R. Lituânia, 190 - Água Rasa, São Paulo - SP, 03184-020",5511950912526,https://wa.me/5511950912526,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:16:40
Studio Braba dos cílios,"
R. Lituânia, 684 - Água Rasa, São Paulo - SP, 03184-020",5511993399532,https://wa.me/5511993399532,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:16:48
Gabriela Araújo Nail Designer,"
R. Piranji - Água Rasa, São Paulo - SP, 03349-050",5511954779643,https://wa.me/5511954779643,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:16:56
Bodyprime,"
R. Francisco Zicardi, 195 - Água Rasa, São Paulo - SP, 03335-090",5511976500589,https://wa.me/5511976500589,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:17:07
Studio Thamara Moreira,"
R. João Mármore, 160 - Água Rasa, São Paulo - SP, 03178-190",5511979502603,https://wa.me/5511979502603,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:17:16
Studio Janete Costa,"
Rua Siqueira Bueno, 2271 - Água Rasa, São Paulo - SP, 03173-010",5511998270922,https://wa.me/5511998270922,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:17:29
Se cuida boneca clinic,"
R. José Oscar Abreu Sampaio, 336 - Água Rasa, São Paulo - SP, 03337-020",551121933933,https://wa.me/551121933933,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:18:14
Lepetti,"
R. Rodrigues Barbosa, 127 - Água Rasa, São Paulo - SP, 03334-040",551122681681,https://wa.me/551122681681,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:18:21
Studio Rose Santos,"
R. Itaqueri, 403 - sala 3 - Água Rasa, São Paulo - SP, 03178-000",5511963058686,https://wa.me/5511963058686,salão de beleza,São Paulo,Água Rasa,2025-09-29 09:18:28
