nome,endereco,telefone,whatsapp,palavra_chave,cidade,bairro,data_coleta
Salão Souza Hairdesign,"
Av. Paranaguá, 2271 - Ermelino Matarazzo, São Paulo - SP, 03806-010",551125462195,https://wa.me/551125462195,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:22:15
Galera Cabeleireiros & Estética,"
R. Cândido José de Andrade, 216 - Ermelino Matarazzo, São Paulo - SP, 03807-030",551135892919,https://wa.me/551135892919,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:22:40
Lih Santos Studio,"
R. Antônio Leite Penteado, 63 - Ermelino Matarazzo, São Paulo - SP, 03816-000",5511952745704,https://wa.me/5511952745704,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:22:48
Spazio Sorelle,"
R. Rev. João Euclídes Pereira, 451 - Sala 9 - Ermelino Matarazzo, São Paulo - SP, 03814-080",5511953771219,https://wa.me/5511953771219,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:23:03
Studio Janayna Cachos,"
R. José Lopes Rodrigues, 448 - Ermelino Matarazzo, São Paulo - SP, 03810-150",5511987886054,https://wa.me/5511987886054,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:23:29
ESPAÇO S.R.,"
R. Manuelino Teixeira, 18A - Ermelino Matarazzo, São Paulo - SP, 03823-130",5511978041864,https://wa.me/5511978041864,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:23:39
Andreia Rosa Beauty Designer,"
R. Rev. João Euclídes Pereira, 451 A - sala 12 - Ermelino Matarazzo, São Paulo - SP, 03814-080",5511945486133,https://wa.me/5511945486133,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:23:47
Studio Mariane Dias,"
Av. Boturussu, 1763 C - Ermelino Matarazzo, São Paulo - SP, 03802-000",5511952802841,https://wa.me/5511952802841,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:23:53
J.Espaço Linda Mulher Cabelos E Unhas,"
R. Antônio José Henriques, 177 - Casa 2 - Ermelino Matarazzo, São Paulo - SP, 03808-040",5511946360666,https://wa.me/5511946360666,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:24:05
Studio Bianca Beauty,"
R. Abel Tavares, 909 - Ermelino Matarazzo, São Paulo - SP, 03812-020",5511976145437,https://wa.me/5511976145437,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:24:12
Salao Bella Mulher,"
R. Abel Tavares, 780 - Ermelino Matarazzo, São Paulo - SP, 03810-110",5511959928719,https://wa.me/5511959928719,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:24:35
AG Beauty Studio,"
Av. Paranaguá, 1624 - Sala 3 - Ermelino Matarazzo, São Paulo - SP, 03806-000",5511967750941,https://wa.me/5511967750941,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:24:44
"Studio Laís Marinho – Unhas de Gel, Banho de Gel, Nail Designer & Depilação em Ermelino Matarazzo","
R. Prof. Antônio de Castro Lopes, 508 - Casa 4 - Ermelino Matarazzo, São Paulo - SP, 03805-080",5511970587681,https://wa.me/5511970587681,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:24:51
Studio Karina Nails Designer,"
Av. Paranaguá, 1591 - sala 5 - Ermelino Matarazzo, São Paulo - SP, 03806-010",5511959075708,https://wa.me/5511959075708,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:24:59
Jéssica Souza |Micropigmentação e Cílios e Cursos,"
Av. Paranaguá, 1831 - Sala 1 - Subprefeitura de Ermelino Matarazzo, São Paulo - SP, 03806-010",5511960152358,https://wa.me/5511960152358,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:25:06
Esmalteria Classe A,"
R. Urutu, 5 - Ermelino Matarazzo, São Paulo - SP, 03813-250",5511978702707,https://wa.me/5511978702707,salão de beleza,São Paulo,Ermelino Matarazzo,2025-09-30 16:25:16
