nome,endereco,telefone,whatsapp,palavra_chave,cidade,bairro,data_coleta
Lu Fashion Hair 732,"
R. Herval, 732 - Belém, São Paulo - SP, 03062-000",5511986544159,https://wa.me/5511986544159,salão de beleza,São Paulo,Belém,2025-09-29 10:55:29
Studio Up Cabeleireiro e Estética,"
R. Passos, 163 - Belém, São Paulo - SP, 03058-010",551138530130,https://wa.me/551138530130,salão de beleza,São Paulo,Belém,2025-09-29 10:55:37
Mary Menegatt Studio | Salão de beleza no Belém,"
Rua Serra da Bocaina, 241 - sala 1 - Belém, São Paulo - SP, 03170-000",5511995907274,https://wa.me/5511995907274,salão de beleza,São Paulo,Belém,2025-09-29 10:55:43
Eliana Marques Pro - Hair Specialist,"
Galeria Belém - R. Dr. Clementino, 455 - Sala 4 - Belenzinho, São Paulo - SP, 03059-030",5511945924673,https://wa.me/5511945924673,salão de beleza,São Paulo,Belém,2025-09-29 10:55:57
Studio Elite,"
R. Passos, 266 - Belém, São Paulo - SP, 03058-010",551126941467,https://wa.me/551126941467,salão de beleza,São Paulo,Belém,2025-09-29 10:56:06
Salão de Beleza Belissima,"
Metro - Av. Álvaro Ramos, 1048 - Belém, São Paulo - SP, 03330-000",5511955816214,https://wa.me/5511955816214,salão de beleza,São Paulo,Belém,2025-09-29 10:56:14
STÚDIO CATUMBI,"
R. Catumbi, 18 - Belem, São Paulo - SP, 03021-000",5511969661026,https://wa.me/5511969661026,salão de beleza,São Paulo,Belém,2025-09-29 10:56:46
Shelu Estética Avançada - Dra. Sheila Horácio,"
Rua Serra da Bocaina, 570 - sala 15 - Belém, São Paulo - SP, 03174-000",5511965873500,https://wa.me/5511965873500,salão de beleza,São Paulo,Belém,2025-09-29 10:57:12
Zona da Beleza,"
R. Belém, 192 - Belenzinho, São Paulo - SP, 03057-010",5511945651244,https://wa.me/5511945651244,salão de beleza,São Paulo,Belém,2025-09-29 10:57:21
V'Fashion Hair,"
R. Belém, 258 - Belenzinho, São Paulo - SP, 03057-010",551120814898,https://wa.me/551120814898,salão de beleza,São Paulo,Belém,2025-09-29 10:57:56
Cabeleireiros 7 Cabelos,"
R. Belém, 104 - Belenzinho, São Paulo - SP, 03057-010",5511983516653,https://wa.me/5511983516653,salão de beleza,São Paulo,Belém,2025-09-29 10:58:06
Espaço Floratta,"
R. Belém, 403 - Belenzinho, São Paulo - SP, 03057-010",551126942818,https://wa.me/551126942818,salão de beleza,São Paulo,Belém,2025-09-29 10:58:22
Ibelezze,"
Vila Roberta, 1907 - Belém, São Paulo - SP, 03014-000",551127963218,https://wa.me/551127963218,salão de beleza,São Paulo,Belém,2025-09-29 10:59:01
ArraZus Studio Hair,"
R. Martim Afonso, 241 - Belém, São Paulo - SP, 03057-050",551145084741,https://wa.me/551145084741,salão de beleza,São Paulo,Belém,2025-09-29 10:59:31
Toca Cabelo e Unha,"
R. Belém, 226 - Belenzinho, São Paulo - SP, 03057-010",551143712428,https://wa.me/551143712428,salão de beleza,São Paulo,Belém,2025-09-29 10:59:40
Kell Maximo cabelereiros,"
R. Martim Afonso, 144 - Belém, São Paulo - SP, 03057-050",5544998696046,https://wa.me/5544998696046,salão de beleza,São Paulo,Belém,2025-09-29 10:59:48
Alê oficina da Beleza,"
R. Martim Afonso, 84 - Belém, São Paulo - SP, 03057-050",551126953771,https://wa.me/551126953771,salão de beleza,São Paulo,Belém,2025-09-29 10:59:58
Segredo da beleza Belém,"
R. Belém, 119 - Belenzinho, São Paulo - SP, 03057-010",5511954802335,https://wa.me/5511954802335,salão de beleza,São Paulo,Belém,2025-09-29 11:00:05
Defrisée de Volta aos Cachos,"
R. Brg. Morais, 81 - Belem, São Paulo - SP, 03302-010",5511993631829,https://wa.me/5511993631829,salão de beleza,São Paulo,Belém,2025-09-29 11:00:33
GiO Estética Belém,"
R. Júlio de Castilhos, 1027 - Belenzinho, São Paulo - SP, 03059-005",5511912757990,https://wa.me/5511912757990,salão de beleza,São Paulo,Belém,2025-09-29 11:00:46
Espaço Belem,"
R. Padre Adelino, 668/672 - Quarta Parada, São Paulo - SP, 03303-000",5511988398891,https://wa.me/5511988398891,salão de beleza,São Paulo,Belém,2025-09-29 11:00:53
Studio Jessica Oliveira,"
R. Belém, 193 - Belenzinho, São Paulo - SP, 03057-010",5511985584223,https://wa.me/5511985584223,salão de beleza,São Paulo,Belém,2025-09-29 11:01:50
Luli bella,"
Rua Serra da Bocaina, 246 - Belém, São Paulo - SP, 03174-000",5511992680290,https://wa.me/5511992680290,salão de beleza,São Paulo,Belém,2025-09-29 11:01:57
Studio Gitaliano Nails,"
R. Ivinheima, 115 - Belém, São Paulo - SP, 03020-010",5511991431150,https://wa.me/5511991431150,salão de beleza,São Paulo,Belém,2025-09-29 11:02:05
Peluqueria 7 Pelos,"
R. Catumbi, 135 - Belem, São Paulo - SP, 03021-000",5511965177185,https://wa.me/5511965177185,salão de beleza,São Paulo,Belém,2025-09-29 11:02:47
Bettoo Cabeleireiros,"
Rua Siqueira Bueno, 1399 - Belém, São Paulo - SP, 03173-010",5511931504188,https://wa.me/5511931504188,salão de beleza,São Paulo,Belém,2025-09-29 11:02:55
Moroz Beauty,"
R. Intendência, 119 - Belém, São Paulo - SP, 03015-010",551130123456,https://wa.me/551130123456,salão de beleza,São Paulo,Belém,2025-09-29 11:04:06
Perfumaria e Cosméticos Belém | Agradável Freskor,"
Próximo a estação do Metro - R. Monteiro Caminhoá, 72 - Sala 01 - Belém, São Paulo - SP, 03302-040",551122920976,https://wa.me/551122920976,salão de beleza,São Paulo,Belém,2025-09-29 11:04:43
Anavoig Clinica,"
Rua Serra da Bocaina, 570 - Conj 41 - Belém, São Paulo - SP, 03174-150",551123628985,https://wa.me/551123628985,salão de beleza,São Paulo,Belém,2025-09-29 11:04:52
Cidaregisepilaçãosaudebemestar,"
R. Passos, 306 - Belém, São Paulo - SP, 03058-010",5511986455228,https://wa.me/5511986455228,salão de beleza,São Paulo,Belém,2025-09-29 11:05:18
A- Pelo Depilação,"
R. Serra de Jairé, 454 - Belém, São Paulo - SP, 03175-010",551126053587,https://wa.me/551126053587,salão de beleza,São Paulo,Belém,2025-09-29 11:05:26
Beto Style,"
R. Visc. de Abaeté, 184 - Brás, São Paulo - SP, 03012-050",551126947152,https://wa.me/551126947152,salão de beleza,São Paulo,Brás,2025-09-29 16:52:11
STUDIO DIVINE BEAUTY,"
R. do Lucas, 45 - Brás, São Paulo - SP, 03005-000",5511949509326,https://wa.me/5511949509326,salão de beleza,São Paulo,Brás,2025-09-29 16:52:20
STUDIO CAPITAL BEAUTY,"
R. Piratininga, 201 - Brás, São Paulo - SP, 03042-000",5511915530134,https://wa.me/5511915530134,salão de beleza,São Paulo,Brás,2025-09-29 16:52:28
Mansão divas Unidade 2,"
R. João Boemer, 147 - Brás, São Paulo - SP, 03018-000",551122924364,https://wa.me/551122924364,salão de beleza,São Paulo,Brás,2025-09-29 16:52:37
